; Galvo Command Execution Queue
; Total Commands: 12092
MARK X:11755 Y:48049 SPEED:100000
MARK X:11769 Y:48049 SPEED:100000
MARK X:11783 Y:48049 SPEED:100000
MARK X:11797 Y:48049 SPEED:100000
MARK X:11811 Y:48049 SPEED:100000
MARK X:11825 Y:48049 SPEED:100000
MARK X:11840 Y:48049 SPEED:100000
MARK X:11854 Y:48049 SPEED:100000
MARK X:11868 Y:48049 SPEED:100000
MARK X:11882 Y:48049 SPEED:100000
MARK X:11896 Y:48049 SPEED:100000
MARK X:11910 Y:48049 SPEED:100000
MARK X:11924 Y:48049 SPEED:100000
MARK X:11939 Y:48049 SPEED:100000
MARK X:11953 Y:48049 SPEED:100000
MARK X:11967 Y:48049 SPEED:100000
MARK X:11981 Y:48049 SPEED:100000
MARK X:11995 Y:48049 SPEED:100000
MARK X:12009 Y:48049 SPEED:100000
MARK X:12023 Y:48049 SPEED:100000
MARK X:12037 Y:48049 SPEED:100000
MARK X:12052 Y:48049 SPEED:100000
MARK X:12066 Y:48049 SPEED:100000
MARK X:12080 Y:48049 SPEED:100000
MARK X:12094 Y:48049 SPEED:100000
MARK X:12108 Y:48049 SPEED:100000
MARK X:12122 Y:48049 SPEED:100000
MARK X:12136 Y:48049 SPEED:100000
MARK X:12151 Y:48049 SPEED:100000
MARK X:12165 Y:48049 SPEED:100000
MARK X:12179 Y:48049 SPEED:100000
MARK X:12193 Y:48049 SPEED:100000
MARK X:12207 Y:48049 SPEED:100000
MARK X:12221 Y:48049 SPEED:100000
MARK X:12235 Y:48049 SPEED:100000
MARK X:12249 Y:48049 SPEED:100000
MARK X:12264 Y:48049 SPEED:100000
MARK X:12278 Y:48049 SPEED:100000
MARK X:12292 Y:48049 SPEED:100000
MARK X:12306 Y:48049 SPEED:100000
MARK X:12320 Y:48049 SPEED:100000
MARK X:12334 Y:48049 SPEED:100000
MARK X:12348 Y:48049 SPEED:100000
MARK X:12363 Y:48049 SPEED:100000
MARK X:12377 Y:48049 SPEED:100000
MARK X:12391 Y:48049 SPEED:100000
MARK X:12405 Y:48049 SPEED:100000
MARK X:12419 Y:48049 SPEED:100000
MARK X:12433 Y:48049 SPEED:100000
MARK X:12447 Y:48049 SPEED:100000
MARK X:12461 Y:48049 SPEED:100000
MARK X:12476 Y:48049 SPEED:100000
MARK X:12490 Y:48049 SPEED:100000
MARK X:12504 Y:48049 SPEED:100000
MARK X:12518 Y:48049 SPEED:100000
MARK X:12532 Y:48049 SPEED:100000
MARK X:12546 Y:48049 SPEED:100000
MARK X:12560 Y:48049 SPEED:100000
MARK X:12575 Y:48049 SPEED:100000
MARK X:12589 Y:48049 SPEED:100000
MARK X:12603 Y:48049 SPEED:100000
MARK X:12617 Y:48049 SPEED:100000
MARK X:12631 Y:48049 SPEED:100000
MARK X:12645 Y:48049 SPEED:100000
MARK X:12659 Y:48049 SPEED:100000
MARK X:12673 Y:48049 SPEED:100000
MARK X:12688 Y:48049 SPEED:100000
MARK X:12702 Y:48049 SPEED:100000
MARK X:12716 Y:48049 SPEED:100000
MARK X:12730 Y:48049 SPEED:100000
MARK X:12744 Y:48049 SPEED:100000
MARK X:12758 Y:48049 SPEED:100000
MARK X:12772 Y:48049 SPEED:100000
MARK X:12787 Y:48049 SPEED:100000
MARK X:12801 Y:48049 SPEED:100000
MARK X:12815 Y:48049 SPEED:100000
MARK X:12829 Y:48049 SPEED:100000
MARK X:12843 Y:48049 SPEED:100000
MARK X:12857 Y:48049 SPEED:100000
MARK X:12871 Y:48049 SPEED:100000
MARK X:12885 Y:48049 SPEED:100000
MARK X:12900 Y:48049 SPEED:100000
MARK X:12914 Y:48049 SPEED:100000
MARK X:12928 Y:48049 SPEED:100000
MARK X:12942 Y:48049 SPEED:100000
MARK X:12956 Y:48049 SPEED:100000
MARK X:12970 Y:48049 SPEED:100000
MARK X:12984 Y:48049 SPEED:100000
MARK X:12999 Y:48049 SPEED:100000
MARK X:13013 Y:48049 SPEED:100000
MARK X:13027 Y:48049 SPEED:100000
MARK X:13041 Y:48049 SPEED:100000
MARK X:13055 Y:48049 SPEED:100000
MARK X:13069 Y:48049 SPEED:100000
MARK X:13083 Y:48049 SPEED:100000
MARK X:13097 Y:48049 SPEED:100000
MARK X:13112 Y:48049 SPEED:100000
MARK X:13126 Y:48049 SPEED:100000
MARK X:13140 Y:48049 SPEED:100000
MARK X:13154 Y:48049 SPEED:100000
MARK X:13168 Y:48049 SPEED:100000
MARK X:13182 Y:48049 SPEED:100000
MARK X:13196 Y:48049 SPEED:100000
MARK X:13211 Y:48049 SPEED:100000
MARK X:13225 Y:48049 SPEED:100000
MARK X:13239 Y:48049 SPEED:100000
MARK X:13253 Y:48049 SPEED:100000
MARK X:13267 Y:48049 SPEED:100000
MARK X:13281 Y:48049 SPEED:100000
MARK X:13295 Y:48049 SPEED:100000
MARK X:13309 Y:48049 SPEED:100000
MARK X:13324 Y:48049 SPEED:100000
MARK X:13338 Y:48049 SPEED:100000
MARK X:13352 Y:48049 SPEED:100000
MARK X:13366 Y:48049 SPEED:100000
MARK X:13380 Y:48049 SPEED:100000
MARK X:13394 Y:48049 SPEED:100000
MARK X:13408 Y:48049 SPEED:100000
MARK X:13423 Y:48049 SPEED:100000
MARK X:13437 Y:48049 SPEED:100000
MARK X:13451 Y:48049 SPEED:100000
MARK X:13465 Y:48049 SPEED:100000
MARK X:13479 Y:48049 SPEED:100000
MARK X:13493 Y:48049 SPEED:100000
MARK X:13507 Y:48049 SPEED:100000
MARK X:13521 Y:48049 SPEED:100000
MARK X:13536 Y:48049 SPEED:100000
MARK X:13550 Y:48049 SPEED:100000
MARK X:13564 Y:48049 SPEED:100000
MARK X:13578 Y:48049 SPEED:100000
MARK X:13592 Y:48049 SPEED:100000
MARK X:13606 Y:48049 SPEED:100000
MARK X:13620 Y:48049 SPEED:100000
MARK X:13635 Y:48049 SPEED:100000
MARK X:13649 Y:48049 SPEED:100000
MARK X:13663 Y:48049 SPEED:100000
MARK X:13677 Y:48049 SPEED:100000
MARK X:13691 Y:48049 SPEED:100000
MARK X:13705 Y:48049 SPEED:100000
MARK X:13719 Y:48049 SPEED:100000
MARK X:13733 Y:48049 SPEED:100000
MARK X:13748 Y:48049 SPEED:100000
MARK X:13762 Y:48049 SPEED:100000
MARK X:13776 Y:48049 SPEED:100000
MARK X:13790 Y:48049 SPEED:100000
MARK X:13804 Y:48049 SPEED:100000
MARK X:13818 Y:48049 SPEED:100000
MARK X:13832 Y:48049 SPEED:100000
MARK X:13847 Y:48049 SPEED:100000
MARK X:13861 Y:48049 SPEED:100000
MARK X:13875 Y:48049 SPEED:100000
MARK X:13889 Y:48049 SPEED:100000
MARK X:13903 Y:48049 SPEED:100000
MARK X:13917 Y:48049 SPEED:100000
MARK X:13931 Y:48049 SPEED:100000
MARK X:13945 Y:48049 SPEED:100000
MARK X:13960 Y:48049 SPEED:100000
MARK X:13974 Y:48049 SPEED:100000
MARK X:13988 Y:48049 SPEED:100000
MARK X:14002 Y:48049 SPEED:100000
MARK X:14016 Y:48049 SPEED:100000
MARK X:14030 Y:48049 SPEED:100000
MARK X:14044 Y:48049 SPEED:100000
MARK X:14059 Y:48049 SPEED:100000
MARK X:14073 Y:48049 SPEED:100000
MARK X:14087 Y:48049 SPEED:100000
MARK X:14101 Y:48049 SPEED:100000
MARK X:14115 Y:48049 SPEED:100000
MARK X:14129 Y:48049 SPEED:100000
MARK X:14143 Y:48049 SPEED:100000
MARK X:14157 Y:48049 SPEED:100000
MARK X:14172 Y:48049 SPEED:100000
MARK X:14186 Y:48049 SPEED:100000
MARK X:14200 Y:48049 SPEED:100000
MARK X:14214 Y:48049 SPEED:100000
MARK X:14228 Y:48049 SPEED:100000
